id,title,authors,venue,year
233,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search sigmod conference 2002",charu c. aggarwal,,
234,"an experimental system for object-based sharing in federated databases shahram ghandeharizadeh , doug fang 1996",,vldb j.,
235,the lotus notes storage system kenneth moore sigmod conference 1995,,,
236,"evaluation of remote backup algorithms for transaction-processing systems christos a. polyzois , hector garcia-molina acm trans . database syst .",,,1994.0
237,using schematically heterogeneous structures sigmod conference 1998,renée j. miller,,
238,generalised hash teams for join and group-by 1999,"donald kossmann , alfons kemper , christian wiesner",vldb,
239,"tpc-ds , taking decision support benchmarking to the next level bryan smith , meikel pöss , lubor kollár , per-åke larson 2002",,sigmod conference,
240,"heterogeneous database query optimization in db2 universal datajoiner shivakumar venkataraman , tian zhang vldb 1998",,,
241,"processing object-oriented queries with invertible late bound functions tore risch , staffan flodin",,vldb,1995.0
242,combining fuzzy information : an overview ronald fagin sigmod record,,,2002.0
243,"incremental clustering for mining in a data warehousing environment xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel vldb 1998",,,
244,"efficient similarity search and classification via rank aggregation ravi kumar , d. sivakumar , ronald fagin 2003",,sigmod conference,
245,"using extended feature objects for partial similarity retrieval hans-peter kriegel , stefan berchtold , daniel a. keim 1997",,vldb j.,
246,"composing web services on the semantic web athman bouguettaya , brahim medjahed , ahmed k. elmagarmid 2003",,vldb j.,
247,irisnet : internet-scale resource-intensive sensor services sigmod conference 2003,"amol deshpande , suman kumar nath , phillip b. gibbons , srinivasan seshan",,
248,range queries in olap data cubes,"ching-tien ho , rakesh agrawal , nimrod megiddo , ramakrishnan srikant",sigmod conference,1997.0
249,"a characterization of the sensitivity of query optimization to storage access cost parameters tapas kanungo , frederick reiss 2003",,sigmod conference,
250,"online dynamic reordering for interactive data processing bhaskaran raman , joseph m. hellerstein , vijayshankar raman 1999",,vldb,
251,"progressive evaluation of nested aggregate queries cheng hian goh , beng chin ooi , kian-lee tan vldb j.",,,2000.0
252,the incinerate data model h. v. jagadish 1995,,acm trans . database syst .,
253,"semantic interoperability in global information systems : a brief introduction to the research area and the special section amit p. sheth , aris m. ouksel sigmod record 1999",,,
254,lambda-db : an odmg-based object-oriented dbms 2000,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",sigmod conference,
255,data access for the masses through ole db sigmod conference,josé a. blakeley,,1996.0
256,"integration of spatial join algorithms for processing multiple inputs nikos mamoulis , dimitris papadias sigmod conference",,,1999.0
257,report on the mobile search workshop at www 2002 2002,"bay-wei chang , yoëlle s. maarek , aya soffer",sigmod record,
258,"spatial hash-joins ming-ling lo , chinya v. ravishankar 1996",,sigmod conference,
259,"the tv-tree : an index structure for high-dimensional data king-ip lin , h. v. jagadish , christos faloutsos 1994",,vldb j.,
260,cumulative updates 1994,"beat wüthrich , suryanarayana m. sripada",vldb,
261,report on the 17th brazilian symposium on database systems ( sbbd 2002 ),"nina edelweiss , ana carolina salgado",sigmod record,2003.0
