index,id,title,authors,venue,year
44,44,research activities in database management and information retrieval at the university of illinois at chicago,"i cruz , a khokhar , b liu , a sistla , o wolfson , c yu",sigmod record,2002.0
45,45,accessing a relational database through an object-oriented database interface,"j orenstein , d kamber",vldb,1995.0
46,46,interviewing during a tight job market,,,2002.0
47,47,"db2 common server : technology , progress , & directions",b lindsay,vldb,1995.0
48,48,investigating xquery for querying across database object types,n wiegand,sigmod record,2002.0
49,49,w3qs : a query system for the world-wide web,"d konopnicki , o shmueli",vldb,1995.0
50,50,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic , j lukaszuk , c swietlik",sigmod record,2002.0
51,51,oodb bulk loading revisited : the partitioned-list approach,"j wiener , j naughton",vldb,1995.0
52,52,chair 's message,,,2002.0
53,53,the double life of the transaction abstraction : fundamental principle and evolving system concept,h korth,vldb,1995.0
54,54,combining fuzzy information : an overview,r fagin,sigmod record,2002.0
55,55,databases and workflow management : what is it all about ? ( panel ),"a reuter , s ceri , j gray , b salzberg , g weikum",vldb,1995.0
56,56,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995.0
57,57,a brief survey of web data extraction tools,"a laender , b ribeiro-neto , a silva , j teixeira",sigmod record,2002.0
58,58,value-cognizant speculative concurrency control,"a bestavros , s braoudakis",vldb,1995.0
59,59,data warehousing and business intelligence for e-commerce - book review,f goethals,sigmod record,2002.0
60,60,data mining : concepts and techniques - book review,"f galiano , n marэn",sigmod record,2002.0
61,61,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"k wu , p yu , j chung , j teng",vldb,1995.0
62,62,hot block clustering for disk arrays with dynamic striping,"k mogi , m kitsuregawa",vldb,1995.0
63,63,book review column,k aberer,sigmod record,2002.0
64,64,tods perceptions and misconceptions,r snodgrass,sigmod record,2002.0
65,65,an approach for building secure database federations,"d jonscher , k dittrich",vldb,1994.0
66,66,the cougar approach to in-network query processing in sensor networks,"y yao , j gehrke",sigmod record,2002.0
67,67,dalэ : a high performance main memory storage manager,"h jagadish , d lieuwen , r rastogi , a silberschatz , s sudarshan",vldb,1994.0
68,68,introduction to constraint databases - book review,,,2002.0
69,69,"fast , randomized join-order selection - why use transformations ?","c galindo-legaria , a pellenkoft , m kersten",vldb,1994.0
70,70,foundations of statistical natural language processing - book review,,,2002.0
71,71,bulk loading into an oodb : a performance study,"j wiener , j naughton",vldb,1994.0
72,72,efficient and effective clustering methods for spatial data mining,"r ng , j han",vldb,1994.0
73,73,automata theory for xml researchers,f neven,sigmod record,2002.0
74,74,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002.0
75,75,fast incremental indexing for full-text information retrieval,"e brown , j callan , w croft",vldb,1994.0
76,76,chair 's message,,,2002.0
77,77,a transaction replication scheme for a replicated database with node autonomy,"a fu , d cheung",vldb,1994.0
78,78,treasurer 's message,,,2002.0
79,79,a top-down approach for two level serializability,"m ouzzani , m atroun , n belkhodja",vldb,1994.0
80,80,access to objects by path expressions and rules,"j frohn , g lausen , h uphoff",vldb,1994.0
81,81,report on the mobile search workshop at www 2002,,,2002.0
82,82,graphdb : modeling and querying graphs in databases,r gќting,vldb,1994.0
83,83,report on the web dynamics workshop at www 2002,,,2002.0
84,84,report on the 24th european colloquium on information retrieval research,,,2002.0
85,85,database graph views : a practical model to manage persistent graphs,"a gutiщrrez , p pucheral , h steffen , j thщvenin",vldb,1994.0
86,86,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994.0
87,87,sql/med - a status report,"j melton , j michels , v josifovski , k kulkarni , p schwarz",sigmod record,2002.0
88,88,hector garcia-molina speaks out,m winslett,,2002.0
89,89,2q : a low overhead high performance buffer management replacement algorithm,"t johnson , d shasha",vldb,1994.0
90,90,an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,1994.0
91,91,toward autonomic computing with db2 universal database,"s lightstone , g lohman , d zilio",sigmod record,2002.0
92,92,reminiscences on influential papers,,,2002.0
93,93,an algebraic approach to rule analysis in expert database systems,"e baralis , j widom",vldb,1994.0
94,94,report on the semantic web workshop at www 2002,,,2002.0
95,95,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994.0
96,96,ontologies : a silver bullet for knowledge management and electronic commerce - book review,,,2002.0
97,97,opossum : desk-top schema management through customizable visualization,"e haber , y ioannidis , m livny",vldb,1995.0
98,98,the grid : an application of the semantic web,"c goble , d roure",sigmod record,2002.0
99,99,querying shapes of histories,"r agrawal , g psaila , e wimmers , m zaяt",vldb,1995.0
100,100,interview with david maier,,,2002.0
101,101,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg",vldb,1995.0
102,102,small worlds : the dynamics of networks between order and randomness - book review,,,2002.0
103,103,flexible relations - operational support of variant relational structures,"c kalus , p dadam",vldb,1995.0
104,104,query processing in tertiary memory databases,s sarawagi,vldb,1995.0
105,105,"agents , turst , and information access on the semantic web","t finin , a joshi",sigmod record,2002.0
106,106,methodology for development and employment of ontology based knowledge management applications,"y sure , s staab , r studer",sigmod record,2002.0
107,107,near neighbor search in large metric spaces,s brin,vldb,1995.0
108,108,scientific journals : extinction or explosion ? ( panel ),"r ramakrishnan , h garcia-molina , g rossbach , a silberschatz , g wiederhold , j zijlstra",vldb,1995.0
109,110,querying multiple bioinformatics data sources : can semantic web research help ?,"d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong",sigmod record,2002.0
110,111,the p operator : discovering and ranking associations on the semantic web,"k anyanwu , a sheth",sigmod record,2002.0
111,112,similarity based retrieval of pictures using indices on spatial relationships,"a sistla , c yu , c liu , k liu",vldb,1995.0
112,113,clustering validity checking methods : part ii,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002.0
113,114,providing database migration tools - a practicioner 's approach,a meier,vldb,1995.0
114,115,editor 's notes,l liu,sigmod record,2002.0
115,116,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"l seligman , n belkin , e neuhold , m stonebraker , g wiederhold",vldb,1995.0
116,117,"very large databases : how large , how different ?",d vaskevitch,vldb,1995.0
117,118,book review column,k aberer,sigmod record,2002.0
118,119,a study on the management of semantic transaction for efficient data retrieval,"s huang , i kwan , c li",sigmod record,2002.0
119,120,promises and realities of active database systems,"e simon , a dittrich",vldb,1995.0
120,121,os support for vldbs : unix enhancements for the teradata data base,"j catozzi , s rabinovici",vldb,1995.0
121,122,reminiscences on influential papers,,,2002.0
122,123,parameterized complexity for the database theorist,m grohe,sigmod record,2002.0
123,124,managing a db2 parallel edition database,g fecteau,vldb,1995.0
124,125,research in information managment at dublin city university,"m roantree , a smeaton",sigmod record,2002.0
125,126,the oracle warehouse,g hallmark,vldb,1995.0
126,127,informix-online xps : a dynamically scalable rdbms for open parallel platforms,h spintzik,vldb,1995.0
127,128,report on the edbt '02 panel on scientific data integration,,,2002.0
128,129,supporting exceptions to schema consistency to ease schema evolution in oodbms,"e amiel , m bellosta , e dujardin , e simon",vldb,1994.0
129,130,wrapping web data into xml,"w han , d buttler , c pu",sigmod record,2001.0
130,131,on database theory and xml,d suciu,sigmod record,2001.0
131,132,naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , t svensen",vldb,1994.0
132,133,xquery formal semantics : state and challenges,p fankhauser,sigmod record,2001.0
133,134,towards automated performance tuning for complex workloads,"k brown , m mehta , m carey , m livny",vldb,1994.0
134,135,why and how to benchmark xml databases,"a schmidt , f waas , m kersten , d florescu , m carey , i manolescu , r busse",sigmod record,2001.0
135,136,query optimization by predicate move-around,"a levy , i mumick , y sagiv",vldb,1994.0
136,137,the evolution of effective b-tree : page organization and techniques : a personal account,d lomet,sigmod record,2001.0
137,138,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,"w hasan , r motwani",vldb,1994.0
138,139,the ecobase project : database and web technologies for environmental information systems,"a tanaka , p valduriez",sigmod record,2001.0
139,140,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994.0
140,141,semantic integration in heterogeneous databases using neural networks,"w li , c clifton",vldb,1994.0
141,142,xml document versioning,"s chien , v tsotras , c zaniolo",sigmod record,2001.0
142,143,providing dynamic security control in a federated database,"n idris , w gray , r churchhouse",vldb,1994.0
143,144,"preservation of digital data with self-validating , self-instantiating knowledge-based archives","b ludфscher , r marciano , r moore",sigmod record,2001.0
144,145,"semantic web workshop : models , architectures and management",,,2001.0
145,146,implementing lazy database updates for an object database system,"f ferrandina , t meyer , r zicari",vldb,1994.0
146,147,towards event-driven modelling for database design,"m teisseire , p poncelet , r cicchetti",vldb,1994.0
147,148,reminiscences on influential papers,,,2001.0
148,149,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",,,2001.0
149,150,new concurrency control algorithms for accessing and compacting b-trees,"v setzer , a zisman",vldb,1994.0
150,151,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994.0
151,153,constraints for semi-structured data and xml,"p buneman , w fan , j simщon , s weinstein",sigmod record,2001.0
152,154,indexing multiple sets,"c kilger , g moerkotte",vldb,1994.0
153,155,editor 's notes,,,2001.0
154,156,the hcc-tree : an efficient index structure for object oriented databases,"b sreenath , s seshadri",vldb,1994.0
155,157,performance of data-parallel spatial operations,"e hoel , h samet",vldb,1994.0
156,158,sql/xml and the sqlx informal group of companies,"a eisenberg , j melton",sigmod record,2001.0
157,160,the impact of global clustering on spatial database systems,"t brinkhoff , h kriegel",vldb,1994.0
158,161,java support for data-intensive systems : experiences building the telegraph dataflow system,"m shah , s madden , m franklin , j hellerstein",sigmod record,2001.0
159,162,a requirement-based approach to data modeling and re-engineering,"a muntz , c ramiller",vldb,1994.0
160,163,sql multimedia and application packages ( sql/mm ),"j melton , a eisenberg",sigmod record,2001.0
161,164,from nested-loop to join queries in oodb,"h steenhagen , p apers , h blanken , r by",vldb,1994.0
162,166,"composite events for active databases : semantics , contexts and detection","s chakravarthy , v krishnaprasad , e anwar , s kim",vldb,1994.0
163,167,report on the 8th international workshop on knowledge representation meets databases ( krdb ),,,2001.0
164,168,a low-cost storage server for movie on demand databases,"b жzden , a biliris , r rastogi , a silberschatz",vldb,1994.0
165,169,editor 's notes,l liu,sigmod record,2001.0
166,170,content-based image indexing,t chiueh,vldb,1994.0
167,171,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994.0
168,172,research in multi-organizational processes and semantic information brokering at the lsdis lab,"a sheth , j miller , k kochut , i arpinar",sigmod record,2001.0
169,173,on the academic interview circuit : an end-to-end discussion,u чetintemel,sigmod record,2001.0
170,174,cumulative updates,"s sripada , b wќthrich",vldb,1994.0
171,175,cache conscious algorithms for relational query processing,"a shatdal , c kant , j naughton",vldb,1994.0
172,176,introduction to the career forum column,a labrinidis,sigmod record,2001.0
173,177,challenges for global information systems,"a levy , a silberschatz , d srivastava , m zemankova",vldb,1994.0
174,178,continuous queries over data streams,"s babu , j widom",sigmod record,2001.0
175,179,data analysis and mining in the life sciences,n huyn,sigmod record,2001.0
176,180,building a laboratory information system around a c++ - based object-oriented dbms,"n goodman , s rozen , l stein",vldb,1994.0
177,181,a multidatabase system for tracking and retrieval of financial data,"m cochinwala , j bradley",vldb,1994.0
178,182,a general techniques for querying xml documents using a relational database system,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",sigmod record,2001.0
179,183,an overview of repository technology,"p bernstein , u dayal",vldb,1994.0
180,184,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001.0
181,185,data compression support in databases,"b iyer , d wilhite",vldb,1994.0
182,186,accessibility of the database literature,r snodgrass,sigmod record,2001.0
183,187,treasurer 's message,,,2001.0
184,188,an empirical performance study of the ingres search accelerator for a large property management database system,"s anand , d bell , j hughes",vldb,1994.0
185,189,chair 's message,,,2001.0
186,190,data integration in the large : the challenge of reuse,"a rosenthal , l seligman",vldb,1994.0
187,191,career-enhancing services at sigmod online,"a labrinidis , a mendelzon",sigmod record,2001.0
188,192,experiments on access to digital libraries : how can images and text be used together,m lesk,vldb,1994.0
189,193,pc database systems - present and future,p bernstein,vldb,1994.0
190,194,editor 's notes,l liu,sigmod record,2001.0
191,195,data mining-based intrusion detectors : an overview of the columbia ids project,"s stolfo , w lee , p chan , w fan , e eskin",sigmod record,2001.0
192,196,distributed top-k monitoring,"b babcock , c olston",sigmod conference,2003.0
193,197,approximate join processing over data streams,"a das , j gehrke , m riedewald",sigmod conference,2003.0
194,198,adam : a testbed for exploring the use of data mining in intrusion detection,"d barbarс , j couto , s jajodia , n wu",sigmod record,2001.0
195,199,detection and classification of intrusions and faults using sequences of system calls,"j cabrera , l lewis , r mehra",sigmod record,2001.0
196,200,containment join size estimation : models and methods,"w wang , h jiang , h lu , j yu",sigmod conference,2003.0
197,201,relating distributed objects,"b martin , r cattell",vldb,1994.0
198,202,book review column,k aberer,sigmod record,2001.0
199,203,integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994.0
200,204,describing semistructured data,l cardelli,sigmod record,2001.0
201,205,chair 's message,,,2001.0
202,206,user interfaces ; who cares ?,s spaccapietra,vldb,1994.0
203,207,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2001.0
204,208,scientific databases - state of the art and future directions,"m zemankova , y ioannidis",vldb,1994.0
205,209,mining system audit data : opportunities and challenges,"w lee , w fan",sigmod record,2001.0
206,210,efficient similarity search and classification via rank aggregation,"r fagin , r kumar , d sivakumar",sigmod conference,2003.0
207,211,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001.0
208,212,extracting structured data from web pages,"a arasu , h garcia-molina",sigmod conference,2003.0
209,213,factorizing complex predicates in queries to exploit indexes,"s chaudhuri , p ganesan , s sarawagi",sigmod conference,2003.0
210,214,mining email content for author identification forensics,"o vel , a anderson , m corney , g mohay",sigmod record,2001.0
211,215,transactional information systems - book review,,,2001.0
212,216,estimating compilation time of a query optimizer,"i ilyas , j rao , g lohman , d gao , e lin",sigmod conference,2003.0
213,217,extended wavelets for multiple measures,"a deligiannakis , n roussopoulos",sigmod conference,2003.0
214,218,information warfare and security - book review,,,2001.0
215,219,treasurer 's message,,,2000.0
216,221,chain : operator scheduling for memory minimization in data stream systems,"b babcock , s babu , m datar , r motwani",sigmod conference,2003.0
217,223,capturing both types and constraints in data integration,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,2003.0
218,224,reminiscences on influential papers,,,2001.0
219,225,exchanging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",sigmod conference,2003.0
220,226,the gmap : a versatile tool for physical data independence,"o tsatalos , m solomon , y ioannidis",vldb,1994.0
221,227,the design and performance evaluation of alternative xml storage strategies,"f tian , d dewitt , j chen , c zhang",sigmod record,2002.0
222,228,guest editor 's introduction,,,2002.0
223,229,including group-by in query optimization,"s chaudhuri , k shim",vldb,1994.0
224,230,persistent threads,"f matthes , j schmidt",vldb,1994.0
225,231,the n-tier hub technology,"r sommer , t gulledge , d bailey",sigmod record,2002.0
226,232,supporting global user profiles through trusted authorities,i cingil,sigmod record,2002.0
227,233,memory-contention responsive hash joins,"d davison , g graefe",vldb,1994.0
228,234,business data management for b2b electronic commerce,"c quix , m schoop , m jeusfeld",sigmod record,2002.0
229,235,v-trees - a storage method for long vector data,"m mediano , m casanova , m dreux",vldb,1994.0
230,236,qualified answers that reflect user needs and preferences,"t gaasterland , j lobo",vldb,1994.0
231,237,semantic b2b integration : issues in ontology-based applications,"z cui , d jones , p o'brien",sigmod record,2002.0
232,238,rp * : a family of order preserving scalable distributed data structures,"w litwin , m neimat , d schneider",vldb,1994.0
233,239,the role of b2b engines in b2b integration architectures,c bussler,sigmod record,2002.0
234,240,supply chain infrastructures : system integration and information sharing,"m ball , m ma , l raschid , z zhao",sigmod record,2002.0
235,241,on index selection schemes for nested object hierarchies,"s chawathe , m chen , p yu",vldb,1994.0
236,242,interview with avi silberschatz,,,2002.0
237,243,reasoning about spatial relationships in picture retrieval systems,"a sistla , c yu , r haddad",vldb,1994.0
238,245,on spatially partitioned temporal join,"h lu , b ooi , k tan",vldb,1994.0
239,246,modelling and querying video data,"r hjelsvold , r midtstraum",vldb,1994.0
240,247,too much middleware,m stonebraker,sigmod record,2002.0
241,248,materialization : a powerful and ubiquitous abstraction pattern,"a pirotte , e zimсnyi , d massart , t yakusheva",vldb,1994.0
242,249,the xml typechecking problem,d suciu,sigmod record,2002.0
243,250,report on the 18th british national conference on databases ( bncod ),,,2002.0
244,251,maximizing buffer and disk utilizations for news on-demand,"r ng , j yang",vldb,1994.0
245,252,reminiscences on influential papers,,,2002.0
246,253,investigation of algebraic query optimisation techniques for database programming languages,"a poulovassilis , c small",vldb,1994.0
247,254,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994.0
248,255,letter to sigmod record editor,n elderini,,2002.0
249,256,hilbert r-tree : an improved r-tree using fractals,"i kamel , c faloutsos",vldb,1994.0
250,257,why i like working in academia,r snodgrass,sigmod record,2002.0
251,258,a survey of logical models for olap databases,"p vassiliadis , t sellis",sigmod record,1999.0
252,259,qc-trees : an efficient summary structure for semantic olap,"l lakshmanan , j pei , y zhao",sigmod conference,2003.0
253,260,fintime - a financial time series benchmark,"k jacob , d shasha",sigmod record,1999.0
254,261,spreadsheets in rdbms for olap,"a witkowski , s bellamkonda , t bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian",sigmod conference,2003.0
255,262,xrank : ranked keyword search over xml documents,"l guo , f shao , c botev , j shanmugasundaram",sigmod conference,2003.0
256,263,diluting acid,"t kempster , c stirling , p thanisch",sigmod record,1999.0
257,264,querying structured text in an xml database,"s al-khalifa , c yu , h jagadish",sigmod conference,2003.0
258,265,design and management of data warehouses : report on the dmdw '99 workshop,"s gatziu , m jeusfeld , m staudt , y vassiliou",sigmod record,1999.0
259,266,vist : a dynamic index method for querying xml data by tree structures,"h wang , s park , w fan , p yu",sigmod conference,2003.0
260,267,editor 's notes,m franklin,sigmod record,1999.0
261,268,rights protection for relational data,"r sion , m atallah , s prabhakar",sigmod conference,2003.0
262,269,sql standardization : the next steps,"a eisenberg , j melton",sigmod record,2000.0
263,270,reminiscences on influential papers,,,2000.0
264,271,information sharing across private databases,"r agrawal , a evfimievski , r srikant",sigmod conference,2003.0
265,272,incremental maintenance of recursive views using relational calculus/sql,"g dong , j su",sigmod record,2000.0
266,273,winnowing : local algorithms for document fingerprinting,"s schleimer , d wilkerson , a aiken",sigmod conference,2003.0
267,274,data quality and data cleaning : an overview,"t johnson , t dasu",sigmod conference,2003.0
268,275,sigmod sister societies,"s ceri , l kalinichenko , m kitsuregawa , h lu , z жzsoyoglu , r snodgrass , v vianu",sigmod record,2000.0
269,276,birn-m : a semantic mediator for solving real-world neuroscience problems,"a gupta , b ludфscher , m martone",sigmod conference,2003.0
270,277,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003.0
271,278,chair 's message,,,2000.0
272,279,beyond document similarity : understanding value-based search and browsing technologies,"a paepcke , h garcia-molina , g rodrэguez-mulр , j cho",sigmod record,2000.0
273,280,aurora : a data stream management system,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003.0
274,281,improving the efficiency of database-system teaching,j ullman,sigmod conference,2003.0
275,282,comparative analysis of five xml query languages,"a bonifati , s ceri",sigmod record,2000.0
276,283,an extensible compressor for xml data,"h liefke , d suciu",sigmod record,2000.0
277,284,"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003",,,2003.0
278,285,an optimisation scheme for coalesce/valid time selection operator sequences,c vassilakis,sigmod record,2000.0
279,286,efficient processing of joins on set-valued attributes,n mamoulis,sigmod conference,2003.0
280,287,hierarchies and relative operators in the olap environment,"e pourabbas , m rafanelli",sigmod record,2000.0
281,288,data grid management systems,"a jagatheesan , a rajasekar",sigmod conference,2003.0
282,289,evaluating probabilistic queries over imprecise data,"r cheng , d kalashnikov , s prabhakar",sigmod conference,2003.0
283,290,evolution and change in data management - issues and directions,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigmod record,2000.0
284,291,adaptive filters for continuous queries over distributed data streams,"c olston , j jiang , j widom",sigmod conference,2003.0
285,292,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,"a labrinidis , n roussopoulos",sigmod record,2000.0
286,293,knowledge discovery in data warehouses,t palpanas,sigmod record,2000.0
287,294,dynamic xml documents with distribution and replication,"s abiteboul , a bonifati , g cobena , i manolescu , t milo",sigmod conference,2003.0
288,295,editor 's notes,m franklin,sigmod record,2000.0
289,296,dynamic sample selection for approximate query processing,"b babcock , s chaudhuri , g das",sigmod conference,2003.0
290,297,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"j shen , a ngu , j shepherd , d huynh , q sheng",sigmod conference,2003.0
291,298,the implementation and performance of compressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000.0
292,299,dbcache : middle-tier database caching for highly scalable e-business architectures,"c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003.0
293,300,metadata standards for data warehousing : open information model vs. common warehouse metamodel,"t vetterli , a vaduva , m staudt",sigmod record,2000.0
294,301,a comprehensive xquery to sql translation using dynamic interval encoding,"d dehaan , d toman , m consens , m жzsu",sigmod conference,2003.0
295,302,spatial operators,"e clementini , p felice",sigmod record,2000.0
296,303,reminiscences on influential papers,,,2000.0
297,304,gigascope : a stream database for network applications,"c cranor , t johnson , o spatscheck , v shkapenyuk",sigmod conference,2003.0
298,305,formal semantics and analysis of object queries,g bierman,sigmod conference,2003.0
299,306,report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000.0
300,307,provision of market services for eco compliant electronic market places,"s arpinar , a dogac",sigmod record,2000.0
301,308,hardware acceleration for spatial selections and joins,"c sun , d agrawal , a abbadi",sigmod conference,2003.0
302,309,a characterization of the sensitivity of query optimization to storage access cost parameters,"f reiss , t kanungo",sigmod conference,2003.0
303,310,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )",,,2000.0
304,311,a theory of redo recovery,"d lomet , m tuttle",sigmod conference,2003.0
305,312,report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga,,,2000.0
306,314,cache-and-query for wide area sensor databases,"a deshpande , s nath , p gibbons , s seshan",sigmod conference,2003.0
307,315,composing xsl transformations with xml publishing views,"c li , p bohannon , h korth , p narayan",sigmod conference,2003.0
308,316,sigmod ' 2000 program chair 's message,,,2000.0
309,317,an optimal and progressive algorithm for skyline queries,"d papadias , y tao , g fu , b seeger",sigmod conference,2003.0
310,318,information director 's message,,,2000.0
311,319,sigmod anthology editor 's message,,,2000.0
312,320,contorting high dimensional data for efficient main memory processing,"b cui , b ooi , j su , k tan",sigmod conference,2003.0
313,321,chair 's message,,,2000.0
314,322,visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003.0
315,323,comparative analysis of six xml schema languages,"d lee , w chu",sigmod record,2000.0
316,324,extracting and exploiting structure in text search,p raghavan,sigmod conference,2003.0
317,325,building notification services with microsoft sqlserver,p seshadri,sigmod conference,2003.0
318,326,vice chair 's message,,,2000.0
319,328,nonstop sql/mx publish/subscribe : continuous data streams in transaction processing,h zeller,sigmod conference,2003.0
320,329,editor 's notes,m franklin,sigmod record,2000.0
321,330,data management challenges in crm,g colliat,sigmod conference,2003.0
322,331,new tpc benchmarks for decision support and web commerce,"m pіss , c floyd",sigmod record,2000.0
323,332,integration of electronic tickets and personal guide system for public transport using mobile terminals,"k goto , y kambayashi",sigmod conference,2003.0
