index,id,title,authors,venue,year
99,101,an adaptive query execution system for data integration,"daniel s. weld , alon y. levy , marc friedman , zachary g. ives , daniela florescu",sigmod conference,1999
100,102,the semantic web paving the way to the knowledge society,pierre-paul sondag,vldb,2001
101,103,parallel algorithms for high-dimensional similarity joins for data mining applications,"rakesh agrawal , john c. shafer",vldb,1997
102,104,path sharing and predicate evaluation for high-performance xml filtering,"yanlei diao , hao zhang , peter m. fischer , michael j. franklin , mehmet altinel",acm trans . database syst .,2003
103,105,processing set expressions over continuous update streams,"sumit ganguly , minos n. garofalakis , rajeev rastogi",sigmod conference,2003
104,106,performance measurements of compressed bitmap indices,theodore johnson,vldb,1999
105,107,hierarchical prefix cubes for range-sum queries,"chee yong chan , yannis e. ioannidis",vldb,1999
106,108,removing permissions in the flexible authorization framework,"åsa hagström , duminda wijesekera , francesco parisi-presicce , sushil jajodia",acm trans . database syst .,2003
107,109,ariadne : a system for constructing mediators for internet sources,"ion muslea , greg barish , andrew philpot , craig a. knoblock , steven minton , josé luis ambite , pragnesh jay modi , sheila tejada , naveen ashish",sigmod conference,1998
108,110,multiway spatial joins,"dimitris papadias , nikos mamoulis",acm trans . database syst .,2001
109,111,implementing data cubes efficiently,"anand rajaraman , jeffrey d. ullman , venky harinarayan",sigmod conference,1996
110,112,recent design trade-offs in sql3,"nelson mendonça mattos , linda g. demichiel",sigmod record,1994
111,113,sqlj-part 1 : sql routines using the java programming language,"andrew eisenberg , jim melton",sigmod record,1999
112,114,similarity-based queries for time series data,"alberto o. mendelzon , davood rafiei",sigmod conference,1997
113,115,"a distributed scientific data archive using the web , xml and sql/med","alistair n. dunlop , jasmin l. wason , denis a. nicole , mark papiani",sigmod record,1999
114,117,information warfare and security - book review,h. v. jagadish,sigmod record,2001
115,118,the persistent cache : improving oid indexing in temporal object-oriented database systems,kjetil nørvåg,vldb,1999
116,119,estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,"christos faloutsos , alberto belussi",vldb,1995
117,120,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,"dennis mcleod , goksel aslan",vldb j.,1999
118,121,performance evaluation of a new distributed deadlock detection algorithm,"chim-fu yeung , kam-yiu lam , sheung-lun hung",sigmod record,1994
119,122,sql and management of external data,"jan-eike michels , jim melton , krishna g. kulkarni , peter m. schwarz , kathy zeidenstein , vanja josifovski",sigmod record,2001
120,123,"aquery : query language for ordered data , optimization techniques , and experiments","alberto lerner , dennis shasha",vldb,2003
121,124,resource scheduling in enhanced pay-per-view continuous media databases,"banu özden , minos n. garofalakis , abraham silberschatz",vldb,1997
122,125,review : a real time virtual walkthrough system,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",sigmod conference,2001
123,126,a modified random perturbation method for database security,"norman s. matloff , patrick tendick",acm trans . database syst .,1994
124,127,managing web data,dan suciu,sigmod conference,1999
125,128,loading the data warehouse across various parallel architectures,vijay v. raghavan,vldb,1996
126,129,hodfa : an architectural framework for homogenizing heterogeneous legacy database,"qing li , kamalakar karlapalem , chung-dak shum",sigmod record,1995
127,130,"database tuning : principles , experiments , and troubleshooting techniques","philippe bonnet , dennis shasha",vldb,2002
128,131,reminiscences an influential papers,"jeffrey f. naughton , minos n. garofalakis , kenneth a. ross",sigmod record,2003
129,132,application of oodb and sgml techniques in text database : an electronic dictionary system,jian zhang,sigmod record,1995
130,133,java and relational databases : sqlj ( tutorial ),"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner",sigmod conference,1998
131,134,covering indexes for branching path queries,"raghav kaushik , henry f. korth , jeffrey f. naughton , philip bohannon",sigmod conference,2002
132,135,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li , chris clifton",sigmod conference,1995
133,136,career-enhancing services at sigmod online,"alexandros labrinidis , alberto o. mendelzon",sigmod record,2001
134,137,revisiting commit processing in distributed database systems,"krithi ramamritham , jayant r. haritsa , ramesh gupta",sigmod conference,1997
135,138,type-checking oql queries in the odmg type systems,suad alagic,acm trans . database syst .,1999
136,139,things every update replication customer should know,rob golding,sigmod conference,1995
137,141,query optimization by predicate move-around,"inderpal singh mumick , alon y. levy , yehoshua sagiv",vldb,1994
138,142,catching the boat with strudel : experiences with a web-site management system,"jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez",sigmod conference,1998
139,143,adaptable query optimization and evaluation in temporal middleware,"christian s. jensen , richard t. snodgrass , giedrius slivinskas",sigmod conference,2001
140,144,birch : an efficient data clustering method for very large databases,"raghu ramakrishnan , miron livny , tian zhang",sigmod conference,1996
141,145,time-parameterized queries in spatio-temporal databases,"dimitris papadias , yufei tao",sigmod conference,2002
142,146,scalable parallel data mining for association rules,"eui-hong han , vipin kumar , george karypis",sigmod conference,1997
143,147,an algebraic approach to static analysis of active database rules,"jennifer widom , elena baralis",acm trans . database syst .,2000
144,148,os support for vldbs : unix enhancements for the teradata data base,"sorana rabinovici , john catozzi",vldb,1995
145,149,dwarf : shrinking the petacube,"yannis kotidis , yannis sismanis , antonios deligiannakis , nick roussopoulos",sigmod conference,2002
146,150,thinksheet : a tool for tailoring complex documents,"dao-i lin , peter piatko , roman yangarber , dennis shasha",sigmod conference,1996
147,151,on-line reorganization of sparsely-populated b + trees,"betty salzberg , chendong zou",sigmod conference,1996
148,152,handling very large databases with informix extended parallel server,andreas weininger,sigmod conference,2000
149,153,including group-by in query optimization,"surajit chaudhuri , kyuseok shim",vldb,1994
150,154,value-cognizant speculative concurrency control,"azer bestavros , spyridon braoudakis",vldb,1995
151,155,data mining : practical machine learning tools and techniques - book review,james geller,sigmod record,2002
152,156,report on the 8th international workshop on knowledge representation meets databases ( krdb ),"dan suciu , maurizio lenzerini , daniele nardi , werner nutt",sigmod record,2001
153,157,starts : stanford proposal for internet meta-searching ( experience paper ),"hector garcia-molina , luis gravano , kevin chen-chuan chang , andreas paepcke",sigmod conference,1997
154,158,the x-tree : an index structure for high-dimensional data,"hans-peter kriegel , stefan berchtold , daniel a. keim",vldb,1996
155,159,eliminating fuzzy duplicates in data warehouses,"rohit ananthakrishna , venkatesh ganti , surajit chaudhuri",vldb,2002
156,160,a database striptease or how to manage your personal databases,"michael j. franklin , surajit chaudhuri , alejandro p. buchmann , gerhard weikum , daniel a. keim , martin l. kersten",vldb,2003
157,161,an ebxml infrastructure implementation through uddi registries and rosettanet pips,"yildiray kabak , gokce laleci , sait pektas , serkan toprak , yusuf tambag , gokhan kurt , asuman dogac , pinar pembecioglu",sigmod conference,2002
158,162,temporal database system implementations,michael h. böhlen,sigmod record,1995
159,163,xsearch : a semantic search engine for xml,"yaron kanza , yehoshua sagiv , sara cohen , jonathan mamou",vldb,2003
160,164,opossum : desk-top schema management through customizable visualization,"miron livny , eben m. haber , yannis e. ioannidis",vldb,1995
161,165,atomicity and isolation for transactional processes,"hans-jörg schek , gustavo alonso , heiko schuldt , catriel beeri",acm trans . database syst .,2002
162,166,logical logging to extend recovery to new domains,"david b. lomet , mark r. tuttle",sigmod conference,1999
163,167,the impress ddt : a database design toolbox based on a formal specification language,"jacek skowronek , maurice van keulen , jan flokstra",sigmod conference,1994
164,168,online aggregation,"helen j. wang , peter j. haas , joseph m. hellerstein",sigmod conference,1997
165,169,"semi-automatic , self-adaptive control of garbage collection rates in object databases","artur klauser , alexander l. wolf , benjamin g. zorn , jonathan e. cook",sigmod conference,1996
166,170,a single pass computing engine for interactive analysis of vldbs,ted mihalisin,vldb,1998
167,171,fast nearest neighbor search in medical image databases,"zenon protopapas , christos faloutsos , eliot siegel , flip korn , nikolaos sidiropoulos",vldb,1996
168,173,"in reply to domains , relations and religious wars",hugh darwen,sigmod record,1996
169,174,bank of america case study : the information currency advantage,"mark jahnke , felipe cariño",vldb,1998
170,175,tree pattern query minimization,"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia",vldb j.,2002
171,176,fine-grained sharing in a page server oodbms,"michael j. carey , markos zaharioudakis , michael j. franklin",sigmod conference,1994
172,177,adept : an agent-based approach to business process management,"timothy j. norman , nicholas r. jennings , peyman faratin",sigmod record,1998
173,178,introduction to the career forum column,alexandros labrinidis,sigmod record,2001
174,179,image mining in iris : integrated retinal information system,"kheng guan goh , wynne hsu , mong-li lee",sigmod conference,2000
175,180,enterprise information architectures -- they 're finally changing,wesley p. melling,sigmod conference,1994
176,181,integrating information for on demand computing,nelson mendonça mattos,vldb,2003
177,182,thémis : a database programming language handling integrity constraints,"anne doucet , véronique benzaken",vldb j.,1995
178,183,an introduction to deductive database languages and systems,"kotagiri ramamohanarao , james harland",vldb j.,1994
179,184,information management challenges from the aerospace industry,suryanarayana m. sripada,vldb,2002
180,185,state of the art in workflow management research and products,c. mohan,sigmod conference,1996
181,186,videoanywhere : a system for searching and managing distributed video assets,"amit p. sheth , kshitij shah , clemens bertram",sigmod record,1999
182,187,phoenix project : fault-tolerant applications,"roger s. barga , david b. lomet",sigmod record,2002
183,188,cluster validity methods : part i,"michalis vazirgiannis , yannis batistakis , maria halkidi",sigmod record,2002
184,189,directv and oracle rdb : the challenges of vldb transaction processing,william l. gettys,sigmod conference,1995
185,190,ensuring relaxed atomicity for flexible transactions in multidatabase systems,"bharat k. bhargava , aidong zhang , marian h. nodine , omran a. bukhres",sigmod conference,1994
186,191,"replication , consistency , and practicality : are these mutually exclusive ?","avishai wool , henry f. korth , yuri breitbart , todd a. anderson",sigmod conference,1998
187,193,searching in metric spaces with user-defined and approximate distances,"marco patella , paolo ciaccia",acm trans . database syst .,2002
188,194,algorithms for deferred view maintenance,"leonid libkin , inderpal singh mumick , latha s. colby , howard trickey , timothy griffin",sigmod conference,1996
189,195,design and development of a stream service in a heterogenous client environment,"stavros christodoulakis , nikos pappas",vldb,2000
190,196,cougar : the network is the database,"wai fu fung , david sun , johannes gehrke",sigmod conference,2002
191,197,the data that you wo n't find in databases : tutorial panel on data exchange formats,"david maier , peter buneman",sigmod conference,1995
192,198,effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",vldb j.,2000
193,199,silkroute : a framework for publishing relational data in xml,"dan suciu , yana kadiyska , wang chiew tan , mary f. fernandez , atsuyuki morishima",acm trans . database syst .,2002
194,200,the tpr * - tree : an optimized spatio-temporal access method for predictive queries,"dimitris papadias , jimeng sun , yufei tao",vldb,2003
195,201,editor 's notes,jennifer widom,sigmod record,1996
196,203,the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces,"gang qian , qiang xue , sakti pramanik , qiang zhu",vldb,2003
197,204,transactional publish / subscribe : the proactive multicast of database changes,arvola chan,sigmod conference,1998
198,205,exploiting constraint-like data characterizations in query optimization,"jarek gryz , calisto zuzarte , parke godfrey",sigmod conference,2001
199,206,metu interoperable database system,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , pinar koksal , asuman dogac , gökhan özhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic",sigmod conference,1996
200,207,clustering techniques for minimizing external path length,"a. a. diwan , s. sudarshan , sanjeeva rane , s. seshadri",vldb,1996
201,208,the national medical knowledge bank,warren sterling,vldb,1998
202,209,guest editorial,"vijay atluri , anupam joshi , yelena yesha",vldb j.,2003
203,210,report on fqas 2002 : fifth international conference on flexible query answering systems,"amihai motro , troels andreasen",sigmod record,2003
204,211,an automated system for web portal personalization,"philip s. yu , charu c. aggarwal",vldb,2002
205,212,webfilter : a high-throughput xml-based publish and subscribe system,"françoise fabret , dennis shasha , hans-arno jacobsen , françois llirbat , joão pereira",vldb,2001
206,213,ogdi : toward interoperability among geospatial databases,"denis gouin , henry kucera , christian larouche , gilles clement , paul morin",sigmod record,1997
207,214,editor 's notes,michael j. franklin,sigmod record,2000
208,215,dimensionality reduction for similarity searching in dynamic databases,"ambuj k. singh , kothuri venkata ravi kanth , divyakant agrawal",sigmod conference,1998
209,216,push technology personalization through event correlation,"asaf adi , david botzer , tali yatzkar-haham , opher etzion",vldb,2000
210,217,oracle industrial exhibit,amy pogue,vldb,1998
211,218,a one-pass algorithm for accurately estimating quantiles for disk-resident data,"khaled alsabti , vineet singh , sanjay ranka",vldb,1997
212,219,editor 's notes,ling liu,sigmod record,2001
213,220,translating web data,"renée j. miller , ronald fagin , yannis velegrakis , mauricio a. hernández , lucian popa",vldb,2002
214,221,repository system engineering,philip a. bernstein,sigmod conference,1996
215,223,semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,"michael gertz , can türker",vldb j.,2001
216,224,"adaptable pointer swizzling strategies in object bases : design , realization , and quantitative analysis","alfons kemper , donald kossmann",vldb j.,1995
217,225,implementing xquery,paul cotton,sigmod conference,2002
218,226,mining surprising patterns using temporal description length,"soumen chakrabarti , byron dom , sunita sarawagi",vldb,1998
219,227,continually evaluating similarity-based pattern queries on a streaming time series,"like gao , xiaoyang sean wang",sigmod conference,2002
220,228,efficient approximation of optimization queries under parametric aggregation constraints,"dimitrios gunopulos , nick koudas , divesh srivastava , michail vlachos , sudipto guha",vldb,2003
221,229,the aditi deductive database system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi",vldb j.,1994
222,230,on random sampling over joins,"vivek r. narasayya , surajit chaudhuri , rajeev motwani",sigmod conference,1999
223,231,feedbackbypass : a new approach to interactive similarity query processing,"paolo ciaccia , florian waas , ilaria bartolini",vldb,2001
224,232,a multimedia presentation algebra,"maria luisa sapino , sibel adali , v. s. subrahmanian",sigmod conference,1999
225,233,a structured approach for the definition of the semantics of active databases,"letizia tanca , piero fraternali",acm trans . database syst .,1995
226,234,fast algorithms for mining association rules in large databases,"ramakrishnan srikant , rakesh agrawal",vldb,1994
227,236,combinatorial pattern discovery for scientific data : some preliminary results,"kaizhong zhang , jason tsong-li wang , bruce a. shapiro , thomas g. marr , gung-wei chirn , dennis shasha",sigmod conference,1994
228,237,partition based spatial-merge join,"david j. dewitt , jignesh m. patel",sigmod conference,1996
229,239,optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,"daniel a. keim , alexander hinneburg",vldb,1999
230,240,the database group at university of hagen ( fernuniversitaet ),"silke mittrach , gunter schlageter , thomas berkel , andreas scherer , eberhard heuel , wolfgang wilkes",sigmod record,1995
231,241,extended wavelets for multiple measures,"antonios deligiannakis , nick roussopoulos",sigmod conference,2003
232,243,optimal multi-step k-nearest neighbor search,"thomas seidl , hans-peter kriegel",sigmod conference,1998
233,244,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",charu c. aggarwal,sigmod conference,2002
234,245,an experimental system for object-based sharing in federated databases,"shahram ghandeharizadeh , doug fang",vldb j.,1996
235,246,the lotus notes storage system,kenneth moore,sigmod conference,1995
236,248,evaluation of remote backup algorithms for transaction-processing systems,"christos a. polyzois , hector garcia-molina",acm trans . database syst .,1994
237,249,using schematically heterogeneous structures,renée j. miller,sigmod conference,1998
238,250,generalised hash teams for join and group-by,"donald kossmann , alfons kemper , christian wiesner",vldb,1999
239,251,"tpc-ds , taking decision support benchmarking to the next level","bryan smith , meikel pöss , lubor kollár , per-åke larson",sigmod conference,2002
240,252,heterogeneous database query optimization in db2 universal datajoiner,"shivakumar venkataraman , tian zhang",vldb,1998
241,253,processing object-oriented queries with invertible late bound functions,"tore risch , staffan flodin",vldb,1995
242,254,combining fuzzy information : an overview,ronald fagin,sigmod record,2002
243,256,incremental clustering for mining in a data warehousing environment,"xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel",vldb,1998
244,257,efficient similarity search and classification via rank aggregation,"ravi kumar , d. sivakumar , ronald fagin",sigmod conference,2003
245,258,using extended feature objects for partial similarity retrieval,"hans-peter kriegel , stefan berchtold , daniel a. keim",vldb j.,1997
246,259,composing web services on the semantic web,"athman bouguettaya , brahim medjahed , ahmed k. elmagarmid",vldb j.,2003
247,260,irisnet : internet-scale resource-intensive sensor services,"amol deshpande , suman kumar nath , phillip b. gibbons , srinivasan seshan",sigmod conference,2003
248,261,range queries in olap data cubes,"ching-tien ho , rakesh agrawal , nimrod megiddo , ramakrishnan srikant",sigmod conference,1997
249,262,a characterization of the sensitivity of query optimization to storage access cost parameters,"tapas kanungo , frederick reiss",sigmod conference,2003
250,263,online dynamic reordering for interactive data processing,"bhaskaran raman , joseph m. hellerstein , vijayshankar raman",vldb,1999
251,264,progressive evaluation of nested aggregate queries,"cheng hian goh , beng chin ooi , kian-lee tan",vldb j.,2000
252,265,the incinerate data model,h. v. jagadish,acm trans . database syst .,1995
253,266,semantic interoperability in global information systems : a brief introduction to the research area and the special section,"amit p. sheth , aris m. ouksel",sigmod record,1999
254,267,lambda-db : an odmg-based object-oriented dbms,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",sigmod conference,2000
255,268,data access for the masses through ole db,josé a. blakeley,sigmod conference,1996
256,269,integration of spatial join algorithms for processing multiple inputs,"nikos mamoulis , dimitris papadias",sigmod conference,1999
257,270,report on the mobile search workshop at www 2002,"bay-wei chang , yoëlle s. maarek , aya soffer",sigmod record,2002
258,271,spatial hash-joins,"ming-ling lo , chinya v. ravishankar",sigmod conference,1996
