id,title,authors,venue,year
2615,manipulating complex objects,"m lacroix , m vanhoedenaghe","acm press frontier series ,",1990.0
2616,intra-transaction parallelism in the mapping of an object model to a relational multi-processor,"m rys , mc norrie , hj schek",vldb,
2617,a survey of distributed deadlock detection algorithms,ak elmagarmid,"acm sigmod record ,",1986.0
2618,self-similarity in the web . 2 : 205â ?? 223,"s dill , r kumar , ks mccurley , s rajagopalan , d",,2002.0
2619,an overview of web services security,"p kearney , j chapman , n edwards , m gifford , l he","bt technology journal ,",2004.0
2620,xml document versioning,"sy chien , vj tsotras , c zaniolo","sigmod record ,",2001.0
2621,ande . j. shekita . object and filemanagement in the exodus extensible database system,"mj carey , dj dewitt , je richardson","international conference on very large data bases ,",
2622,the adabas buffer pool manager,h schoning,,
2623,multi-dimensional constrained gradient mining,jmw lam,,2001.0
2624,capturing causality in distributed systems,"m raynal , m singhal","ieee computer ,",
2625,data and knowledge base research at hong kong university of science and technology,"p drew , b hamidzadeh , k karlapalem , acy kean , dl","sigmod record ,",1995.0
2626,guest editor 's introduction,f dehne,"algorithmica ,",1999.0
2627,"0 . g. tsatalos , sj white , and mj zwiiiing . shoring up persistent applications","mj carey , dj dewitt , mj franklin , ne hall , ml",proc . acm sigmod,
2628,update semantics of relational views,"f bancilhon , n spyratos","acm transactions on database systems ,",1981.0
2629,clarans : a method for clustering objects for spatial data mining,rt ng,,
2630,cure : an efficient clustering algorithm for large databases,"g sudipto , r rastogi , k shim","proceedings of acm sigmod international conference on & hellip ; ,",
2631,videoanywhere : a system for searching and managing distributed video assets .,acms anthology,"sigmod record ,",1999.0
2632,leadership and the research university .,ss lipschutz,"new directions for higher education ,",1985.0
2633,simplicity : a region-based retrieval system for picture libraries and biomedical image databases,jz wang,"proceedings of the eighth acm international conference on & hellip ; ,",2000.0
2634,improved query performance with variant indices,"poâ ?? neill , d quass","proceedings of sigmod conference ,",
2635,querying multiple features of groups in relational databases,"d chatziantoniou , ka ross","proceedings of the international conference on very large & hellip ; ,",1996.0
2636,bio-ajax : an extensible framework for biological data cleaning,ch wuq,"sigmod record ,",2004.0
2637,comparing hierarchical data in external memory . university of maryland,ss chawathe,proceedings of the 25th vldb conference,
2638,issues in developing very large data warehouses,"l do , p drew , w jin , v jumani , d van rossum","proceedings of the international conference on very large & hellip ; ,",1998.0
2639,poesia : an ontological workflow approach for composing web services in agriculture,"r fileto , l liu , c pu , ed assad , cb medeiros","the vldb journal the international journal on very large & hellip ; ,",2003.0
2640,an authorization mechanism for a relational database system,"pp griffiths , bw wade","acm transactions on database systems ,",1976.0
2641,integrating association rule mining with relational database systems : alternatives and implications /,"s sarawagi , s thomas , r agrawal","san jose , california , usa , marz ,",
2642,sql multimedia and application packages ( sql/mm ) base documents,p cotton,,1994.0
2643,contrastplotsandp-sphere trees : space vs. time in nearest neighbour searches,rr goldsteinj,"& hellip ; of the very large data bases ( vldb ) conference , cairo , egypt ,",
2644,r-trees : a dynamic index structure for spatial searching,a guttrnan,"proceedings of the sigmod conference , boston , june ,",
2645,data grid management systems,"rw moore , a jagatheesan",,
2646,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree,c koch,"proceedings of the international conference on very large & hellip ; ,",2003.0
2647,"y , jiang and yk ng.â ?? record-boundary discovery in web documents , â ??",d embley,"proc . acm sigmod conf ,",
2648,strudel : a web-site management system,"m fernandez , j kang , a levy , d suciu",,
2649,rule and data allocation in distributed deductive database systems,"sj lim , yk ng",,
2650,automatic composition of transition-based semantic web services with messaging,"d berardi , d calvanese , g de giacomo , r hull , m","proceedings of the 31st international conference on very & hellip ; ,",2005.0
2651,final report,l koehnken,"mount lyell remediation research and demonstration program . & hellip ; ,",
2652,manolopoulosy ( 1994 ) fast subsequence matching in time-series databases,"c faloutsos , m ranganathan",& hellip ; . acm international conference on management of data ( sigmod,
2653,a performance study of four index structures for set-valued attributes of low cardinality,"s helmer , g moerkotte","the vldb journal the international journal on very large & hellip ; ,",2003.0
2654,path queries on compressed xml,"p buneman , m grohe , c koch","proceedings of the international conference on very large & hellip ; ,",2003.0
2655,r. yavatkar . distributed file organization with scalable cost/performance . acm-sigmod int . conf,"r vingralek , y breitbart , g weikum","on management of data ,",
2656,local and global query optimization mechanisms for relational databases,"k satoh , m tsuchida , f nakamura , k oomachi","vldb ,",1985.0
2657,data management for asymmetric communication environments,"s acharya , r alonso , m franklin , s zdonik , b disks","proc . acm sigmod conf. , san jose , ca , may ,",
2658,multidatabase interoperability,"sigmod record , 1990","sigmod record ,",1990.0
2659,mining fuzzy association rules in database,"mk chan , f ada , hw man","sigmod record ,",
2660,finding hierarchical heavy hitters in data streams,"g cormode , d srivastava","proceedings of the international conference on very large & hellip ; ,",2003.0
2661,effective memory use in a media server ( extended version ) . stan-ford technical report sidl-ivp -,"e chang , h garcia-molina",,1996.0
2662,primitives for workload summarization and implications for sql,"s chaudhuri , p ganesan , v narasayya","proceedings of the international conference on very large & hellip ; ,",2003.0
2663,"ã ? . , srivastava , d. , and tan , m. , 1996 , semantic data caching and replacement","s dar , mj franklin , b jã ³ nsson",& hellip ; of the 22 thinternational conference on very large data,
2664,"tc , metadata for multimedia documents",kr bã?hm,"sigmod record , special issue on metadata for digital media ,",
2665,information management for gaze control in vision guided biped walking,jf seara,,
2666,a language based multidatabase system,"e kã 1/4 hn , t tschernko , k schwarz","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
2667,"architecture / / advances in databases and information systems , third east european conference , adbis '",lb sokolinsky,"proceedings of short papers.-maribor : institute of & hellip ; ,",
2668,semantics and implementation of schema evolution in object-oriented databases proc . of acm-sigmod,"j banerjee , w kim , hk kim , hf korth","conf . om management of data , san francisco ca , may ,",
2669,an ontological analysis of the relationship construct conceptual modeling,"w yair , cs veda , w kon","acm transactions on database systems ,",
2670,rethinking database system architecture : towards a self-tuning risc-style database system,"s chaudhuri , g weikum","vldb ,",2000.0
2671,tuple routing strategies for distributed eddies,"f tian , dj dewitt","vldb ,",2003.0
2672,integrating user views in database design,"sb navathe , r elmasri , ja larson","ieee computer ,",
2673,from ternary relationship to relational tables : a case against common beliefs,"sigmod record , 2002","sigmod record ,",2002.0
2674,use of object-oriented constructs in a computational modeling system for earth scientists,ka carlson,,1995.0
2675,ad 2003 . telegraphcq : continuous dataflow processing for an uncertain world,"s chandrasekaran , o cooperâ ? ¦",proc . of the conf . on innovative data systems research ( cidr,
2676,j. cardiff-graphical interaction with heterogeneous databases -,"t catarci , g santucci","vldb journal , to be",
2677,"bancilhon . f. & mark , r. ( 1995 ) . objects and sql : strange relations","cj date , m nelson",,
2678,rare earths -- applications and technology,"ck gupta , ts krishnan","bombay , india , 25-26 sept. 1986 ,",1986.0
2679,guest editor 's introduction : user interfacesâ ¿ opening a window on the computer,d hix,"ieee software ,",1989.0
2680,merging models based on given correspondences,"pa bernstein , ra pottinger","proc . 29th vldb conference , berlin",
2681,fast subsequence matching in time-series,"c faloutsos , m fanganathan , y monolopoulos","proceedings 1994 acm sigmod conference ,",
2682,hilbert r-tree : an improved r-tree using hactals,"i kamel , c faloutsos","proceedings of the 20th vldb conference ,",
2683,an extendible hashing structure for image similarity searches,s lin,,
2684,read-only transactions in a distributed database,"h garcia-molina , g wiederhold","acm transactions on database systems ,",1982.0
2685,the n-tier hub technology,"ra sommer , tr gulledge , d bailey","sigmod record ,",2002.0
2686,common expression analysis in database applications,s finkelstein,"proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0
2687,concurrency control in database systems,b bhargava,,
2688,adding database management to ada,pav hall,"acm sigmod record ,",1983.0
2689,viper : augmenting automatic information extraction with visual perceptions,"k simon , g lausen","proceedings of the 14th acm international conference on & hellip ; ,",2005.0
2690,"266-275 , v. ( 1997 ) . â ?? do n't scrap it , wrap it ! a wrapper architecture for legacy data sources.â ??","m tork roth , pm schwarz",proceedings of the 23rd international conference on very,
2691,practical predicate placement,jm hellerstein,,
2692,ipsofacto : a visual correlation tool for aggregate network traffic data,"f korn , s muthukrishnan , y zhu","sigmod conference ,",2003.0
2693,eager aggregation and lazy aggregation,"py weipeng , l per-ake","proceedings of the 21st international conference on very & hellip ; ,",
2694,hilbert r-tree : an improved r-tree using fractals,"i kamel , c faloutsos",,
2695,lineage tracing in a data warehousing system,"y cui , j widom",,
2696,set-oriented mining of association rules . research report rj 9567,"m houtsma , a swami",,1993.0
2697,the internet : a learning environment,r mcgreal,"new directions for teaching and learning ,",1997.0
2698,data compression for bitmap indexes,y chen,,
2699,a generalized model for a relational temporal database,"sk gadia , cs yeung","proceedings of the 1988 acm sigmod international conference & hellip ; ,",1988.0
2700,bringing object-relational technology to mainstream,"v krishnamurthy , s banerjee , a nori","sigmod conference ,",1999.0
2701,efficient code distribution in wireless sensor networks,"n reijers , k langendoen","proceedings of the 2nd acm international conference on & hellip ; ,",2003.0
2702,efficiently publishing relational data as xml documents,"j shanmungasundaram , e shekita , r barr , m carey , b","& hellip ; . of the int . conf . on very large data bases ( vldb ) , cairo , & hellip ; ,",
2703,defining knowledge management : four basic functions,c frappaolo,"computerworld ,",
2704,distance browsing in spatial databases,"gr hjaltason , h samet","acm transactions on database systems ,",1999.0
2705,pat selinger speaks out,"p selinger , m winslett","sigmod record ,",
2706,indexing and retrieval of video based on spatial relation sequences,"s daä?taå ? , a ghafoor","proceedings of the seventh acm international conference on & hellip ; ,",1999.0
2707,business-to-business interactions : issues and enabling technologies ; vldb volume 12 number 1 ; 2003 ;,"b medjahed , b benatallah , a bouguettaya , ahh ngu ,",,
2708,two-phase deadlock detection algorithm in distributed databases,"s kawazu , s minami , k itoh , k teranaka","very large data bases , 1979 . fifth international conference & hellip ; ,",1979.0
2709,data integration in data warehousing,"d calvanese , g de giacomo , m lenzerini , d nardi , r","international journal of cooperative information systems ,",2001.0
2710,a study of transitive closure as a recursive mechanism,"hv jagadish , r agrawal , l ness",proceedings of acm-sigmod 1987 annual conference on,
2711,interoperating geographic information systems,mf goodchildâ ? ¦,,1999.0
2712,building clinical information spaces on the world wide web,p wehr,"proceedings of the 23rd annual sas users group international & hellip ; ,",
2713,challenges for spoken dialog systems,jr glass,,1999.0
2714,a mediator system for model-based information integration,"b ludã $ scher , a gupta , m martone",int . conf .,
2715,query processing techniques in the summary-table-by-example database query language,"g ã?zsoyoä?lu , v matos , m ã?zsoyoä?lu","acm transactions on database systems ( tods ) ,",1989.0
2716,equi-depth histogramsforestimatingselectivityfactorsfor multidimensional queries,"m muralikrishna , dj dewitt",proc . acm,
2717,a query language for a homogeneous temporal database,"sk gadia , jh vaishnav","proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,",1985.0
2718,a unifying model of physical databases,"ds batory , cc gotlieb","acm transactions on database systems ,",1982.0
2719,k : a high-level knowledge base programming language for advanced database applications,ym shyy,,
2720,mining insurance data at swiss life,"ju kietz , u reimer , m staudt","proceedings of the international conference on very large & hellip ; ,",1997.0
2721,the architecture of simplicity,d miller,"the academy of management review ,",1993.0
2722,"the rufus system : information organizationforsemi-structured data , ''","k shoens , a luniewski , p schwarz , j stamos , j","proceedings of the 19th vldb conference , ireland ,",
2723,coalescing in temporal databases,"mh bijhlen , rt snodgrass , md soo",,
2724,converting relational to object-oriented databases,j fong,"sigmod record ,",1997.0
2725,active storage for large-scale data mining and multimedia applications,"e riedel , g gibson , c faloutsos",,
2726,fast algorithms for mining association rules . 20th int,"r agrawal , r skrikant","conf . on very large databases ( vldb ) . santiago de chile ,",
2727,panga ( 1998 ) exploratory mining and pruning optimizations of constrained association rules,"r ng , lvs lakshmanan , j han",proc . acm sigmod international conference on management of,
2728,analysis of sigmods co-authorship graph,m nascimentoâ ? ¦,"sigmod record ,",2003.0
2729,expiration and partially materialized views,"w labio , h garcia-molina","technical report , stanford university , 1997 . available at http : -",
2730,report on the 5th international workshop on knowledge representation meets databases ( krdbâ ?? 98 ),a borgida,"sigmod record ,",1998.0
2731,itqs : an integrated transport query system,"b huang , z huang , h li , d lin , h lu , y song","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0
2732,semantic and schematic similarities between database objects : a context-based approach,"v kashayp , a sheth","the vldb journal ,",
2733,guest editor 's introduction,wc newstetter,journal of the learning,
2734,mohamed zc aã ¯ t. querying shapes of histories,"rb akkesh agrawal , g psaila , el wimmers",,
2735,semi-structured data extraction from heterogeneous sources,"x gao , l sterling",,
2736,"swarni ( 1993 ) , mining association rules between set of items in large databases",i agrawal,"proc . of the acm sigmod conference of management of data ,",
2737,special issue editorial,k ramamohanarao,"the vldb journal the international journal on very large & hellip ; ,",1994.0
2738,s3 : similarity search in cad database systems,"s berchtold , hp kriegel",,
2739,chain : operator scheduling for memory minimization in data stream systems,"b babcock , s babu , m datar , r motwani","sigmod conference ,",2003.0
2740,"mining assocation rules between sets of items in large datatabes , acm sigmod","r agrawal , t imielinski , a suami","conference on management of data , washington , dc ,",
2741,an index structure for efficient reverse nearest neighbor queries,"c yang , ki lin",,
2742,realm-based spatial data types : the rose algebra [ j ],"r cuting , m schnider","vldb journal ,",
2743,determining text databases to search in the internet,"kll weiyi meng , c yu , x war & , nr yuhsi chang",,
2744,oz + : an object-oriented database system,"sp weiser , fh lochovsky","acm press frontier series ,",1989.0
2745,ramakrishnan r. livny m ( 1996 ) birch : an efficient data clustering method for very large database,t zhang,proceedings of the 1996 acm sigmod international conference,
2746,high-end computing on shv workstations connected with high performance network,"lp huse , h bugge",,
2747,bluetooth-based sensor networks,"p bonnet , a beaufour , mb dydensborg , m leopold","acm sigmod record ,",2003.0
2748,implementing deductive databases by linear programming,c bell,,
2749,"standards in practice , grades k-2",lk crafton,,
2750,an empirical analysis of information sytems changes,j heales,"proceedings of the international conference on information & hellip ; ,",1995.0
2751,apply data mining techniques to a health insurance information system,"m viveros , j nerahos , m rothman",,
2752,and j. yu . client-server paradise,"dj dewitt , n kabra , j luo , jm pate","proceedings ofthe twentieth international conference on vey & hellip ; ,",
2753,qc-trees : an efficient summary structure for semantic olap .,"lvs lakshmanan , j pei , y zhao","sigmod conference ,",2003.0
2754,handling summary information in a database denvability,h sato,proc acm,
2755,evaluation of probabilistic queries over imprecise data in constantly-evolving environments,"r cheng , dv kalashnikov , s prabhakar",,
2756,refining top-k selection queries based on user feedback,"k chakrabarti , k porkaew , s mehrotra",vldb,2000.0
2757,"andez , and d. suciu . storing semistructured data with stored","a deutsch , m fern","& hellip ; of the acm sigmod international conference on management of & hellip ; ,",
2758,microsoft sql server 7.0 performance tuning guide,h lau,,
2759,an orthogonally persistent java tm,"mp atkinson , mj jordan , t printezis , s spence","sigmod record ,",1996.0
2760,"report on the first international conference on ontologies , databases and applications of semantics",k aberer,"acm sigmod record ,",2003.0
2761,schemasql { a language for querying and restructuring multidatabase systems . in proc . ieee int . conf .,"lvs lakshmanan , f sadri , in subramanian","bombay , india , september ,",
2762,defining data types in a database language,cj date,"acm sigmod record ,",1988.0
2763,missing information ( applicable and non-applicable ) in relational databases,ef codd,"acm sigmod rec ,",
2764,maintenance of association rules : when to update,"sd lee , d cheung","proc . of sigmod workshop on research issues in data mining & hellip ; ,",
2765,query optimization in the presence of limited access patterns,"a levy , i manolesu , d suciu , d florescu","proc . of acm sigmod conf . on management of data ,",
2766,database and information systems research database and information systems research for semantic web,"a sheth , r meersman",,
2767,locking primitives in a database system,hf korth,"journal of the acm ( jacm ) ,",1983.0
2768,processing time-constrained aggregate queries in case-db,"wc hou , g ozsoyoglu","acm transactions on database systems ,",1993.0
2769,querying text databases for efficient information extraction,"e agichtein , l gravano",,
2770,foreword,fmh schek,"the vldb journal the international journal on very large & hellip ; ,",1992.0
2771,a web odyssey : from codd to xml,v vianu,,
2772,mining optimized association rules for numeric attributes,"j han , y fu","vldb proceedings ,",
2773,automatic presentations of structures,"b khoussainov , a nerode","lecture notes in computer science ,",1995.0
2774,modeling time-based media,"s gibbs , c breiteneder , d tsichritzis","the handbook of multimedia information management table of & hellip ; ,",1997.0
2775,thã © mis : a database programming language with integrity constraints .,acms anthology,,
2776,an object-oriented application development environment,"m ganti , p goyal , r nassif , s podar",,
2777,"ã cents â ? ¬ å?view maintenance in a warehousing environment , ã cents â ? ¬ â ? proc","y zhuge , h garcia-molina , j hammer , j widom","acm sigmod ,",
2778,"the past , present and future of web services",u ogbuji,,
2779,the query by image content ( qbic ) system,"j ashley , m flickner , j hafner , d lee , w niblack ,","proceedings of the 1995 acm sigmod international conference & hellip ; ,",1995.0
2780,testing containment of coqiunctive queries under functional and inclusion dependencies,"ds ijkl johnson , a kiug",proc . first acm sigaci-sigmod conf . on principles of,
2781,database management for life sciences research,"hv jagadish , f olken","sigmod record ,",2004.0
2782,the bess object storage manager : architecture overview,"a biliris , e panagos","sigmod record ,",1996.0
2783,the effective of gloss for the text database discovery problem,"hgoms luisgravano , a tomasic","proc . of the acm sigmod conference , acm sigmod record ,",
2784,an efficient clustering-based heuristic for data gathering and aggregation in sensor networks,"k dasgupta , k kalpakis , p namjoshi",,
2785,"temporal coalescing with now , granularity , and incomplete information",ce dyreson,"sigmod conference ,",2003.0
2786,an efficient algorithm for mining association rules in large databases,"ase omiecinski , s navathe","i > proc . 21st int &#39; l conf . very large data bases , < / i > morgan & hellip ; ,",
2787,an annotated bibliography on active databases ( short version ),"u jaeger , jc freytag","sigmod-record ,",1995.0
2788,maintenance of implication integrity constraints under updates to constraints,"ns ishakbeyoglu , zm ozsoyoglu","the vldb journal the international journal on very large & hellip ; ,",1998.0
2789,gral : an extensible relational database system for geometric applications,rh giiting,,
2790,"j. , and muntz , rr 1997 . sting : a statistical information grid approach to spatial data mining",wy wang,proc . int . conf . very large databases,
2791,"etal. , prospector : a content-based multimedia object server for massively parallel architectures","woâ ?? connell , it ieong , d schrader","proceedings of the acm sigmod conference on management of & hellip ; ,",
2792,java and relational databases,"g clossman , p shaw , m hapner , j klein , r","proceedings of 1998 acm sigmod conference on management of & hellip ; ,",
2793,a predicate-based caching scheme for client-server database architectures,"am keller , j basu","the vldb journal the international journal on very large & hellip ; ,",1996.0
2794,3xnf : redundancy eliminating xml storage in relations,"y chen , sb davidson , y zheng",submitted for,
2795,"declarative data cleaning : model , language , and algorithms","h galhardas , d florescu , d sasha , e simon , ca",proc . vldb,
2796,neill and g. graefe . multi-table joins through bitmapped join indexes,p oã cents,"sigmod record ,",
2797,plan-per-tuple optimization solutionâ ?? parallel execution of user defined functions,"f carino , woâ ?? connell","proceedings of the vldb conf ,",
2798,design and evaluation of incremental data structures and algorithms for dynamic query interfaces,"r beigel , b shneiderman",,
2799,"fast similarity search in the presence of noise , scaling , and translation in time-series databases","r agrawal , ki lin , hs sawhney , k shim","vldb ,",1995.0
2800,commit processing in distributed secure and real-time transaction processing systems,pk nagaraj,,1998.0
2801,spire : a progressive content-based spatial image retrieval engine,"cs li , ld bergman , yc chang , v castelli , jr smith","sigmod record ,",2000.0
2802,maximal objects and the semantics of universal relation databases,"d maier , jd ullman","acm transactions on database systems ,",1983.0
2803,a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002.0
2804,"query caching and optimization in distributed mediator systems , proceedings of acm sigmod","s adali , ks candan , y papakonstantinou , vs","montreal , canada , june",
2805,efficient algorithms for processing xpath queries . extended version,"g gottlob , c koch , r pichler","proc . of the 28th international conference on very large & hellip ; ,",
2806,guarding the data warehouse gate,d radcliff,"computerworld ,",
2807,keynote address,t bailey,"women in aviation international conference , reno , nv , march ,",
2808,infoharness : a system for search and retrieval of heterogeneous information,"l shklar , a sheth , v kashyap , s thatte","sigmod conference ,",1995.0
2809,an efficient implementation of a relational data base,ms furman,"vldb ,",1985.0
2810,"triantaâ ® llou , p. , zioga , f. , 1997 . principles of optimally placing data in tertiary storage",s christodoulakis,proceedings of the 23rd vldb,
2811,efficient concurrency control for broadcast environments,"j shnmugasundram , a nithrakashyap , r sivasankaran ,","technical report , 1997-062 , department of computer science ,",
2812,issues in developing context-aware computing,"j pascoe , n ryan , d morse","lecture notes in computer science ,",1999.0
2813,andm . scholl . fromstructured documentstonovelquery facilities,"v christophides , s abiteboul , s cluet",proc . of acm sigmod conf . on management of,
2814,semantic cache mechanism for heterogeneous web querying,"b chidlovskii , c roncancio , ml schneider","www8 / computer networks ,",1999.0
2815,i. announcements,"ii business , iiip items",,2002.0
2816,recent experiences with data mining in aviation safety ( 1998 ),"e harris jr , e bloedorn , nj rothleder","sigmod98 dmkd workshop ,",
2817,building a laboratory information system around a c++ - based object-oriented dbms,"n goodman , s rozen","proceedings of the international conference on very large & hellip ; ,",1994.0
2818,sleepers and workoholics-caching in mobile wireless environments,"d barbara , t imielinski",proc . acm,
2819,exploiting early sorting and early partitioning for decision support query processing,"j claussen , a kemper , d kossmann , c wiesner","the vldb journal the international journal on very large & hellip ; ,",2000.0
2820,building light-weight wrappers for legacy web data-sources using w4f,"f azavant , a sahuguet","international conference on very large databases ( vldb ) ,",
2821,spec as a performance evaluation measure,"r giladi , n ahituv",,
2822,cost evaluation of directory management schemes for distributed database systems,"y matsushita , h yamazaki , s hikita , i yoshida","proceedings of the 1980 acm sigmod international conference & hellip ; ,",1980.0
2823,nd-sql : a multi-dimensional language for interoperability and olap . 134-145,"f gingras , lvs lakshmanan",electronic,
2824,relational data sharing in peer-based data management systems,b ooi,"sigmod record ,",2003.0
2825,an overview and classification of mediated query systems .,acms anthology,"sigmod record ,",1999.0
2826,synchronization in a decentralized computer system,"r reed , d naming","ph. d. dissertation , mit laboratory for computer science ,",
2827,status report,b cabrera,"technical report , stanford university , october",
2828,xml schemas without order,"f neven , t schwentick","unpublished manuscript ,",1999.0
2829,dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos","sigmod conference ,",1999.0
2830,ã cents â ? ¬ classic : a structural data model for objectsã cents â ? ¬ â ? cents,"a borgida , rj brachman , dl mcguinness , la resnick",proceedings of the acm/sigmod international conference on,
2831,schneider : multi-step processing of spatial joins,"t brinkhoff , hp kriegel","proc . acm-sigmod intl. conf . on management of data , & hellip ; ,",
2832,"data mining using two-dimensional optimized association rules : scheme , algorithms , and visualization","t fukuda , y morimoto , s morishita , t tokuyama",,1996.0
2833,de ( 1994 ) from nested-loop to join queries in oodb,"hj steenhagen , pmg apers , hm blanken , ra by","proc . of the conf . on very large data bases ( vldb ) , & hellip ; ,",
2834,peer-to-peer : harnessing the power of disruptive technology,"r dingledine , m freedman , d molnar",,2001.0
2835,dynamic content acceleration : a caching solution to enable scalable dynamic web page generation,"a datta , k dutta , k ramamritham , h thomas , d","sigmod conference ,",2001.0
2836,optimal aggregation algorithms for middleware,"r fagin , a lotem , m naor",,
2837,an online video placement policy based on bandwidth to space ratio,"a dan , d sitaram","proceedings of the acm sigmod conference ,",
2838,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise,"g aslan , d mcleod","the vldb journal the international journal on very large & hellip ; ,",1999.0
2839,the parameterized complexity of database queries,m grohe,,
2840,efficient data view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",
2841,editorial,p willis,"bt technology journal ,",2000.0
2842,"the gemâ ?? stone data management system , object-oriented concepts , databases , and applications","mj carey , dj dewitt , jf richardson , ej shekita",,1989.0
2843,querying object-oriented databases,m kifer,,
2844,a structural approach for the definition of semantics of active database,"p fraernali , l tanca","acm tods ,",
2845,hierarchical prefix cubes for range-sum queries,"cy chan , ye ioannidis","proceedings of the 25th international conference on very & hellip ; ,",1999.0
2846,the context interchange mediator prototype,"s madnick , t pena , j qu , a shum , m siegel","acm sigmod international conference on management of data ,",
2847,integrating symbolic images into a multimedia database system using classification and abstraction,"a soffer , h samet","the vldb journal the international journal on very large & hellip ; ,",1998.0
